Date,Open,High,Low,Close,Adj Close,Volume
2017-04-16,580,580,562.700012,564.450012,559.73291,5224476
2017-04-23,565,565.099976,545.400024,557.450012,552.791382,8174718
2017-04-30,557.450012,559,544.150024,549.950012,545.354065,4011851
2017-05-07,549.950012,569.849976,545.049988,567.950012,563.203674,2965008
2017-05-14,567,572.450012,556.799988,564.950012,560.228699,4673263
2017-05-21,567,567.700012,480.200012,488.899994,484.81424,14903738
2017-05-28,492,533.900024,488.899994,530.049988,525.620361,10118229
2017-06-04,531.299988,555.799988,522.349976,551.099976,546.494446,4551528
2017-06-11,549,555.200012,535.049988,536.75,532.264343,4987284
2017-06-18,537.099976,549.5,524,541.150024,536.627625,4636907
2017-06-25,541.150024,558.900024,531,555.599976,550.956848,3723380
2017-07-02,559,559.900024,540.099976,547.150024,542.577454,3332959
2017-07-09,560,560,536.049988,548.049988,543.46991,4343629
2017-07-16,549,577,546.700012,566.200012,561.468262,4537699
2017-07-23,564,579.400024,556.5,566.099976,561.36908,5009487
2017-07-30,567.549988,575,543.049988,568.700012,565.952881,4200512
2017-08-06,566.5,581,525.450012,541.400024,538.78479,9493210
2017-08-13,560,594,552.099976,565.299988,562.569275,8970473
2017-08-20,566.900024,575.75,555.150024,574.049988,571.277039,4786522
2017-08-27,575.5,581,562,568.400024,565.654358,4910268
2017-09-03,574.5,577,549.150024,552,549.333557,4902525
2017-09-10,555.099976,567.299988,543.349976,561.400024,558.688171,5541100
2017-09-17,563.200012,600,560.650024,585.349976,582.5224,9191035
2017-09-24,581.900024,594.400024,563,586.099976,583.268799,7944206
2017-10-01,586.099976,592.75,575.5,585.400024,582.572205,2264558
2017-10-08,584.900024,598.25,578.5,592.849976,589.986206,4598856
2017-10-15,595,635.900024,594.299988,607.799988,604.864014,5617671
2017-10-22,613,629.799988,589.5,625.049988,622.03064,7743981
2017-10-29,623.25,648.150024,614.549988,640.099976,637.007935,7709472
2017-11-05,637.099976,663.400024,602,609.299988,606.35675,18306634
2017-11-12,610.299988,614.900024,590,608.549988,605.610352,6456001
2017-11-19,605.549988,625.700012,596.099976,615.700012,612.72583,7757768
2017-11-26,617,621.700012,593.700012,598.099976,595.210815,6700064
2017-12-03,599.299988,607,588.299988,603.099976,600.186707,3916839
2017-12-10,612,612.950012,573.200012,576.450012,573.665466,8551787
2017-12-17,578.400024,611,571.650024,601.200012,598.295898,6865794
2017-12-24,601.200012,623.75,596.099976,608.5,605.560608,5135658
2017-12-31,608,619.849976,603.450012,615.150024,612.178528,4746488
2018-01-07,618.5,627.5,603.099976,612.099976,609.143188,5099387
2018-01-14,612.5,615.5,597.049988,602.75,599.838379,4289927
2018-01-21,604.400024,631,593.099976,621.400024,618.398315,7102156
2018-01-28,624.950012,628.400024,575.099976,581.150024,578.342773,5473855
2018-02-04,576,626,554.200012,621.400024,618.398315,15966339
2018-02-11,629.349976,635,602.950012,611.099976,608.14801,5561819
2018-02-18,612,612.150024,586.599976,595.650024,592.772705,7660598
2018-02-25,596.25,598.900024,580.400024,581.700012,578.890076,6366050
2018-03-04,582.099976,589.400024,568.049988,571.049988,568.291504,7154453
2018-03-11,575.049988,583.799988,557.049988,559.400024,556.697815,5250091
2018-03-18,563.650024,567.450012,522.900024,538.400024,535.799255,16368780
2018-03-25,538.150024,549,532.950012,545.450012,542.815186,5980170
2018-04-01,548,578.950012,545.900024,558.950012,556.25,11987255
2018-04-08,565.900024,567,552.549988,555.5,552.81665,7180951
2018-04-15,553.049988,597,553.049988,589.049988,586.204529,16450410
2018-04-22,576,607,576,599.849976,596.952393,9459080
2018-04-29,602.200012,621.900024,595.5,597,594.11615,4476273
2018-05-06,598.599976,601.950012,565.099976,573.700012,570.928711,5824119
2018-05-13,575,593,530,533.049988,530.475098,12437916
2018-05-20,531.650024,564.900024,507.200012,536.650024,534.057739,15958323
2018-05-27,534,548.299988,519.549988,524.5,521.96637,11438512
2018-06-03,527.5,562,517.150024,559.650024,556.946594,13491029
2018-06-10,560,614.549988,559,611.599976,608.64563,21376196
2018-06-17,612,622.75,595.25,615.75,612.775574,20929532
2018-06-24,615.099976,622.549988,593,616.650024,613.671265,13797204
2018-07-01,620,648,608.049988,612.5,609.541321,16459659
2018-07-08,616.849976,636.700012,615,626.700012,623.672729,8658125
2018-07-15,629.400024,644,602.150024,625.799988,622.777039,11044370
2018-07-22,623.150024,641.900024,613.450012,636.200012,633.126831,8957502
2018-07-29,633,651.900024,628,641.049988,637.953369,11376151
2018-08-05,647,662.5,614.5,621.049988,618.049988,22417087
2018-08-12,622,660,619.200012,646.900024,643.775146,11666596
2018-08-19,649.900024,665,642.400024,651.200012,651.200012,8074047
2018-08-26,653,677.5,640,662.150024,662.150024,13691311
2018-09-02,665.5,671.200012,637.200012,664.75,664.75,12035822
2018-09-09,665,678,643.25,666.400024,666.400024,11667522
2018-09-16,673,678.450012,638.400024,653.200012,653.200012,9354840
2018-09-23,662,677,640.799988,654.049988,654.049988,12489387
2018-09-30,653.049988,663.950012,643.5,654.549988,654.549988,2842870
2018-10-04,650.099976,654.650024,632.099976,638.400024,638.400024,1736407
