Date,Open,High,Low,Close,Adj Close,Volume,Percent Returns
2016-03-17,162.369995,163.800003,158.470001,159.860001,143.670105,1235615,1.8641365926
2016-03-18,160.600006,163.850006,159.179993,162.839996,146.348312,1391480,2.1309169593
2016-03-21,163.440002,166.889999,162.600006,166.309998,149.466873,1522755,0.312686009
2016-03-22,166.389999,167.399994,164.580002,166.830002,149.934235,1561950,1.6603752972
2016-03-23,166,170.199997,165.220001,169.600006,152.423706,1491960,-0.6662769373
2016-03-28,169.360001,171.839996,167.169998,168.470001,151.408142,1768400,0.5104666036
2016-03-29,168.029999,170.850006,167.449997,169.330002,152.18103,963255,2.2736624926
2016-03-30,170,174,169.710007,173.179993,155.641113,1110710,-0.1559003244
2016-03-31,172.199997,175.119995,171.770004,172.910004,155.398468,1733390,-1.0236548793
2016-04-01,172.020004,173,170.449997,171.139999,153.807724,1430275,1.4198890298
2016-04-04,171,174,171,173.570007,155.991623,1032280,-4.424719012
2016-04-05,171.619995,173,165.330002,165.889999,149.089432,2359290,0.6691111413
2016-04-06,167.399994,168.449997,165.699997,167,150.087006,1547165,0.0299406332
2016-04-07,167.600006,168.979996,166.210007,167.050003,150.131943,929090,1.741997704
2016-04-08,166,170.789993,166,169.960007,152.747238,1044230,1.1532057948
2016-04-11,170.199997,172.5,169.600006,171.919998,154.508728,5095635,-0.0174605023
2016-04-12,171.399994,173.75,170.809998,171.889999,154.48175,745705,1.169366608
2016-04-13,173.199997,175,173.199997,173.899994,156.288208,722185,2.7429523026
2016-04-18,173,179.300003,172.199997,178.669998,160.575119,1347220,-1.2984714027
2016-04-20,178.600006,179.059998,175.720001,176.350006,158.490097,1034920,0.0170023241
2016-04-21,178,179.559998,175.600006,176.380005,158.517044,1025530,-0.691682719
2016-04-22,176.419998,177.580002,174.600006,175.160004,157.420609,990490,0.3082855562
2016-04-25,175.139999,177.070007,174.289993,175.699997,157.905914,859130,3.6482699438
2016-04-26,176,182.800003,175.110001,182.110001,163.666748,1785610,0.5545927998
2016-04-27,183,184.779999,179.520004,183.119995,164.574432,5099890,3.2055574708
2016-04-28,183.5,190.279999,183,188.990005,169.84996,6439175,-0.137576129
